ProductKey;ProductAlternateKey;ProductSubcategoryName;ProductName;ProductCategoryName;Color;SizeRange;Description;Startday
210;FR-R92B-58;Road Frames;HL Road Frame - Black, 58;Components;Black;54-58 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";2008/04/01
211;FR-R92R-58;Road Frames;HL Road Frame - Red, 58;Components;Red;54-58 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";2008/01/01
212;HL-U509-R;Helmets;Sport-100 Helmet, Red;Accessories;Red;;Universal fit, well-vented, lightweight , snap-on visor.;2016/02/01
213;HL-U509-R;Helmets;Sport-100 Helmet, Red;Accessories;Red;;Universal fit, well-vented, lightweight , snap-on visor.;2017/03/01
214;HL-U509-R;Helmets;Sport-100 Helmet, Red;Accessories;Red;;Universal fit, well-vented, lightweight , snap-on visor.;2018/04/01
215;HL-U509;Helmets;Sport-100 Helmet, Black;Accessories;Black;;Universal fit, well-vented, lightweight , snap-on visor.;2016/05/01
216;HL-U509;Helmets;Sport-100 Helmet, Black;Accessories;Black;;Universal fit, well-vented, lightweight , snap-on visor.;2017/06/01
217;HL-U509;Helmets;Sport-100 Helmet, Black;Accessories;Black;;Universal fit, well-vented, lightweight , snap-on visor.;2018/07/01
218;SO-B909-M;Socks;Mountain Bike Socks, M;Clothing;White;M;Combination of natural and synthetic fibers stays dry and provides just the right cushioning.;2016/08/01
219;SO-B909-L;Socks;Mountain Bike Socks, L;Clothing;White;L;Combination of natural and synthetic fibers stays dry and provides just the right cushioning.;2016/09/01
220;HL-U509-B;Helmets;Sport-100 Helmet, Blue;Accessories;Blue;;Universal fit, well-vented, lightweight , snap-on visor.;2016/04/01
221;HL-U509-B;Helmets;Sport-100 Helmet, Blue;Accessories;Blue;;Universal fit, well-vented, lightweight , snap-on visor.;2017/01/01
222;HL-U509-B;Helmets;Sport-100 Helmet, Blue;Accessories;Blue;;Universal fit, well-vented, lightweight , snap-on visor.;2018/02/01
223;CA-1098;Caps;AWC Logo Cap;Clothing;Multi;;"Traditional style with a flip-up brim; one-size fits all.";2016/03/01
224;CA-1098;Caps;AWC Logo Cap;Clothing;Multi;;"Traditional style with a flip-up brim; one-size fits all.";2017/04/01
225;CA-1098;Caps;AWC Logo Cap;Clothing;Multi;;"Traditional style with a flip-up brim; one-size fits all.";2018/05/01
226;LJ-0192-S;Jerseys;Long-Sleeve Logo Jersey, S;Clothing;Multi;S;Unisex long-sleeve AWC logo microfiber cycling jersey;2016/06/01
227;LJ-0192-S;Jerseys;Long-Sleeve Logo Jersey, S;Clothing;Multi;S;Unisex long-sleeve AWC logo microfiber cycling jersey;2017/07/01
228;LJ-0192-S;Jerseys;Long-Sleeve Logo Jersey, S;Clothing;Multi;S;Unisex long-sleeve AWC logo microfiber cycling jersey;2018/08/01
229;LJ-0192-M;Jerseys;Long-Sleeve Logo Jersey, M;Clothing;Multi;M;Unisex long-sleeve AWC logo microfiber cycling jersey;2016/09/01
230;LJ-0192-M;Jerseys;Long-Sleeve Logo Jersey, M;Clothing;Multi;M;Unisex long-sleeve AWC logo microfiber cycling jersey;2017/04/01
231;LJ-0192-M;Jerseys;Long-Sleeve Logo Jersey, M;Clothing;Multi;M;Unisex long-sleeve AWC logo microfiber cycling jersey;2018/01/01
232;LJ-0192-L;Jerseys;Long-Sleeve Logo Jersey, L;Clothing;Multi;L;Unisex long-sleeve AWC logo microfiber cycling jersey;2016/02/01
233;LJ-0192-L;Jerseys;Long-Sleeve Logo Jersey, L;Clothing;Multi;L;Unisex long-sleeve AWC logo microfiber cycling jersey;2017/03/01
234;LJ-0192-L;Jerseys;Long-Sleeve Logo Jersey, L;Clothing;Multi;L;Unisex long-sleeve AWC logo microfiber cycling jersey;2018/04/01
235;LJ-0192-X;Jerseys;Long-Sleeve Logo Jersey, XL;Clothing;Multi;XL;Unisex long-sleeve AWC logo microfiber cycling jersey;2016/05/01
236;LJ-0192-X;Jerseys;Long-Sleeve Logo Jersey, XL;Clothing;Multi;XL;Unisex long-sleeve AWC logo microfiber cycling jersey;2017/06/01
237;LJ-0192-X;Jerseys;Long-Sleeve Logo Jersey, XL;Clothing;Multi;XL;Unisex long-sleeve AWC logo microfiber cycling jersey;2018/07/01
238;FR-R92R-62;Road Frames;HL Road Frame - Red, 62;Components;Red;60-62 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";2016/08/01
239;FR-R92R-62;Road Frames;HL Road Frame - Red, 62;Components;Red;60-62 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";2017/09/01
240;FR-R92R-62;Road Frames;HL Road Frame - Red, 62;Components;Red;60-62 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";2018/04/01
241;FR-R92R-44;Road Frames;HL Road Frame - Red, 44;Components;Red;42-46 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";2016/01/01
242;FR-R92R-44;Road Frames;HL Road Frame - Red, 44;Components;Red;42-46 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";2017/02/01
243;FR-R92R-44;Road Frames;HL Road Frame - Red, 44;Components;Red;42-46 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";2018/03/01
244;FR-R92R-48;Road Frames;HL Road Frame - Red, 48;Components;Red;48-52 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";2016/04/01
245;FR-R92R-48;Road Frames;HL Road Frame - Red, 48;Components;Red;48-52 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";2017/05/01
246;FR-R92R-48;Road Frames;HL Road Frame - Red, 48;Components;Red;48-52 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";2018/06/01
247;FR-R92R-52;Road Frames;HL Road Frame - Red, 52;Components;Red;48-52 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";2016/07/01
248;FR-R92R-52;Road Frames;HL Road Frame - Red, 52;Components;Red;48-52 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";2017/08/01
249;FR-R92R-52;Road Frames;HL Road Frame - Red, 52;Components;Red;48-52 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";2018/09/01
250;FR-R92R-56;Road Frames;HL Road Frame - Red, 56;Components;Red;54-58 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";2016/04/01
251;FR-R92R-56;Road Frames;HL Road Frame - Red, 56;Components;Red;54-58 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";2017/01/01
252;FR-R92R-56;Road Frames;HL Road Frame - Red, 56;Components;Red;54-58 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";2018/02/01
253;FR-R38B-58;Road Frames;LL Road Frame - Black, 58;Components;Black;54-58 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;2016/03/01
254;FR-R38B-58;Road Frames;LL Road Frame - Black, 58;Components;Black;54-58 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;2017/04/01
255;FR-R38B-58;Road Frames;LL Road Frame - Black, 58;Components;Black;54-58 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;2018/05/01
256;FR-R38B-60;Road Frames;LL Road Frame - Black, 60;Components;Black;60-62 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;2016/06/01
257;FR-R38B-60;Road Frames;LL Road Frame - Black, 60;Components;Black;60-62 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;2017/07/01
258;FR-R38B-60;Road Frames;LL Road Frame - Black, 60;Components;Black;60-62 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;2018/08/01
259;FR-R38B-62;Road Frames;LL Road Frame - Black, 62;Components;Black;60-62 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;2016/09/01
260;FR-R38B-62;Road Frames;LL Road Frame - Black, 62;Components;Black;60-62 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;2017/04/01
261;FR-R38B-62;Road Frames;LL Road Frame - Black, 62;Components;Black;60-62 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;2018/01/01
262;FR-R38R-44;Road Frames;LL Road Frame - Red, 44;Components;Red;42-46 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;2016/02/01
263;FR-R38R-44;Road Frames;LL Road Frame - Red, 44;Components;Red;42-46 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;2017/03/01
264;FR-R38R-48;Road Frames;LL Road Frame - Red, 48;Components;Red;48-52 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;2016/04/01
265;FR-R38R-48;Road Frames;LL Road Frame - Red, 48;Components;Red;48-52 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;2017/05/01
266;FR-R38R-52;Road Frames;LL Road Frame - Red, 52;Components;Red;48-52 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;2016/06/01
267;FR-R38R-52;Road Frames;LL Road Frame - Red, 52;Components;Red;48-52 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;2017/07/01
268;FR-R38R-58;Road Frames;LL Road Frame - Red, 58;Components;Red;54-58 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;2016/08/01
269;FR-R38R-58;Road Frames;LL Road Frame - Red, 58;Components;Red;54-58 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;2017/09/01
270;FR-R38R-60;Road Frames;LL Road Frame - Red, 60;Components;Red;60-62 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;2016/04/01
271;FR-R38R-60;Road Frames;LL Road Frame - Red, 60;Components;Red;60-62 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;2017/01/01
272;FR-R38R-62;Road Frames;LL Road Frame - Red, 62;Components;Red;60-62 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;2016/02/01
273;FR-R38R-62;Road Frames;LL Road Frame - Red, 62;Components;Red;60-62 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;2017/03/01
274;FR-R72R-44;Road Frames;ML Road Frame - Red, 44;Components;Red;42-46 CM;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.;2016/04/01
275;FR-R72R-48;Road Frames;ML Road Frame - Red, 48;Components;Red;48-52 CM;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.;2016/05/01
276;FR-R72R-52;Road Frames;ML Road Frame - Red, 52;Components;Red;48-52 CM;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.;2016/06/01
277;FR-R72R-58;Road Frames;ML Road Frame - Red, 58;Components;Red;54-58 CM;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.;2016/07/01
278;FR-R72R-60;Road Frames;ML Road Frame - Red, 60;Components;Red;60-62 CM;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.;2016/08/01
279;FR-R38B-44;Road Frames;LL Road Frame - Black, 44;Components;Black;42-46 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;2016/09/01
280;FR-R38B-44;Road Frames;LL Road Frame - Black, 44;Components;Black;42-46 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;2017/04/01
281;FR-R38B-44;Road Frames;LL Road Frame - Black, 44;Components;Black;42-46 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;2018/01/01
282;FR-R38B-48;Road Frames;LL Road Frame - Black, 48;Components;Black;48-52 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;2016/02/01
283;FR-R38B-48;Road Frames;LL Road Frame - Black, 48;Components;Black;48-52 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;2017/03/01
284;FR-R38B-48;Road Frames;LL Road Frame - Black, 48;Components;Black;48-52 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;2018/04/01
285;FR-R38B-52;Road Frames;LL Road Frame - Black, 52;Components;Black;48-52 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;2016/05/01
286;FR-R38B-52;Road Frames;LL Road Frame - Black, 52;Components;Black;48-52 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;2017/06/01
287;FR-R38B-52;Road Frames;LL Road Frame - Black, 52;Components;Black;48-52 CM;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;2018/07/01
288;FR-M94S-42;Mountain Frames;HL Mountain Frame - Silver, 42;Components;Silver;42-46 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;2016/08/01
